,Main Source of Income,Number of Airconditioner,Electricity,House Age,Number of bedrooms,Number of Personal Computer,Total Income from Entrepreneurial Acitivites,Total Household Income,Number of Component/Stereo set,Type of Roof,Number of Washing Machine,Number of Motorized Banca,Number of Cellular phone,Number of Television,Imputed House Rental Value,Toilet Facilities,Type of Walls,House Floor Area,Agricultural Household indicator,Type of Building/House,Number of Stove with Oven/Gas Range,Number of Refrigerator/Freezer,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Motorcycle/Tricycle,Region,Crop Farming and Gardening expenses,Main Source of Water Supply,Tenure Status,Number of CD/VCD/DVD
0,Wage/Salaries,0,1,75,3,1,44370,480332,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,2,1,30000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,80,0,Single house,0,1,0,0,1,CAR,19370,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
1,Wage/Salaries,0,1,15,2,1,0,198235,1,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,3,1,27000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,42,0,Single house,0,0,0,0,2,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
2,Wage/Salaries,0,0,12,1,0,0,82785,0,"Light material (cogon,nipa,anahaw)",0,0,0,0,7200,"Water-sealed, sewer septic tank, shared with other household",Light,35,1,Single house,0,0,0,0,0,CAR,0,"Shared, faucet, community water system",Own or owner-like possession of house and lot,0
3,Wage/Salaries,0,1,15,1,0,15580,107589,0,"Light material (cogon,nipa,anahaw)",0,0,1,1,6600,Closed pit,Light,30,0,Single house,0,0,0,0,0,CAR,15580,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
4,Wage/Salaries,0,1,16,3,0,75687,189322,0,"Light material (cogon,nipa,anahaw)",0,0,3,1,16800,"Water-sealed, sewer septic tank, used exclusively by household",Quite Strong,54,0,Single house,0,1,0,0,1,CAR,18887,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
5,Wage/Salaries,0,1,7,2,0,0,152883,0,Mixed but predominantly strong materials,1,0,4,1,6600,"Water-sealed, sewer septic tank, used exclusively by household",Strong,40,0,Single house,0,0,0,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
6,Wage/Salaries,0,1,18,1,0,72290,198621,1,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,12000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,35,0,Single house,0,0,0,0,1,CAR,72290,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
7,Other sources of Income,0,1,48,2,0,51840,134961,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,2,1,19800,"Water-sealed, sewer septic tank, used exclusively by household",Strong,35,1,Single house,0,0,0,0,1,CAR,51840,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
8,Other sources of Income,0,1,8,1,0,0,171152,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,4200,"Water-sealed, sewer septic tank, shared with other household",Light,35,0,Single house,0,0,0,0,0,CAR,0,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
9,Enterpreneurial Activities,0,1,12,3,1,312974,625753,1,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,4,1,27000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,70,0,Single house,0,1,1,0,0,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
