,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure
0,117848,42140,38300,24676,16806,3325,13460,3000,0,0,4607,63636,3457,4776,2880,36200,34056,7200
1,67766,17329,13008,17434,11073,2035,7833,2360,960,2132,8230,41370,3520,12900,5700,29300,9150,1500
2,61609,34182,32001,7783,2590,1730,3795,4545,270,4525,2735,14340,70,324,420,425,6450,500
3,78189,34030,28659,10914,10812,690,7887,6280,480,0,1390,16638,60,6840,660,300,3762,500
4,94625,34820,30167,18391,11309,1395,11260,6400,1040,0,4620,31122,140,6996,2100,0,8472,1000
5,73326,29065,25190,15336,8572,2614,9035,0,180,240,1930,22782,95,4044,1500,0,5394,600
6,104644,40992,36312,12968,12310,2565,15620,6200,1920,0,7930,24126,340,12696,1848,0,6126,6400
7,95644,37168,28156,14640,15896,3365,10520,1130,480,0,4085,40776,75,4140,3000,50,5562,1500
8,67348,23117,15845,11464,6685,1370,5235,10550,0,0,2780,8370,200,7200,1800,8000,6510,500
9,158721,56003,43239,26488,25678,3880,11360,15620,0,0,7740,65730,1786,5160,7200,13180,15210,4000
10,79530,36588,30167,11174,7674,1709,7920,2590,1268,910,5610,25668,49,3678,1080,750,7134,1500
11,111250,46521,39217,20548,15841,1475,7565,3320,2080,1820,8230,16398,123,2940,5520,250,9858,5500
12,88523,40531,36200,14322,8344,2200,6790,3850,1040,0,6140,11130,89,480,1500,960,5148,0
13,62262,26874,23130,10034,6971,2350,7770,300,0,0,2149,35154,78,14628,1200,0,5130,2000
14,45487,19668,16142,5430,6670,1860,6410,0,0,0,395,24180,77,960,0,0,2202,0
15,70892,30594,26788,10336,7900,1503,6819,3320,0,0,5045,22920,121,1980,264,375,5310,1000
16,83790,41701,36200,11226,8806,1434,6408,1751,1208,910,1105,18552,80,1440,420,470,6834,1000
17,85370,44006,38213,9840,9317,1231,7265,2755,0,780,1640,16698,61,1680,1080,350,11364,2000
18,64705,31984,28659,8048,7625,1625,6085,0,520,0,3610,20100,147,1500,660,0,4674,1000
19,82534,27283,22503,10162,12370,2380,8190,4520,1820,0,2060,11550,1445,7440,840,215,3768,1500
20,73459,32692,28520,6638,11734,2120,6100,5750,1280,2715,6390,19410,610,8010,1320,8060,4428,1500
21,67830,32678,28964,7510,7746,1410,4730,4520,960,780,2030,14556,50,7200,1200,800,3924,1000
22,164860,43076,38372,11884,15699,4510,5015,11740,570,0,7540,15222,102,9000,1080,5960,5826,2000
23,64696,30820,27150,8276,9565,1490,4535,2310,390,0,4905,12990,570,1560,660,200,3492,3000
24,57112,18215,16078,9562,7555,1550,4988,5820,820,1606,3610,22350,160,9480,840,225,3468,2000
25,59819,19491,15928,12557,9245,1710,4495,3645,1440,0,3380,15858,140,4380,1260,150,3930,2000
26,45509,15843,14118,7937,9160,1470,5330,0,0,0,2560,16368,85,960,0,0,3384,0
27,76151,29144,22565,15591,12229,2120,3990,0,390,0,3920,38100,420,9000,1080,0,4506,2000
28,88484,41313,36563,15018,11071,2210,5190,4285,1092,1280,2860,10638,266,7020,420,200,4518,1700
29,82647,34152,28252,12006,9480,1785,5830,7120,1170,0,7920,12300,180,13920,1320,3000,5304,2000
30,59898,16761,13876,14040,14379,2140,6935,0,0,0,2460,10110,267,960,0,0,2490,0
31,89896,29819,21515,19552,18234,1675,7112,3390,1638,780,4625,13110,250,2460,540,760,5748,2500
32,84335,24996,19266,16800,18452,1790,11700,0,910,0,3370,12420,215,3300,480,0,4572,2500
33,90927,34648,17984,18876,14960,2140,11420,0,1040,0,3835,12852,2600,2160,900,0,4212,1500
34,110405,42271,36470,12476,17220,2295,9625,13500,1170,0,5990,15030,150,14280,1080,14800,6336,2500
35,63907,19270,13870,11908,14126,2100,8295,200,1390,0,4640,11832,160,13920,1320,0,6864,10000
36,50424,17486,13290,5796,9579,1600,4735,3410,0,0,1730,17910,4229,4230,420,0,5982,0
37,112070,58254,46517,11810,8847,2045,6350,8360,456,0,5790,14700,3700,10620,1560,11900,6132,2000
38,91008,37629,31191,12088,12811,1265,7625,7450,2928,1629,2930,13026,120,13860,1320,380,7182,1644
39,108043,41137,32816,14958,11856,1240,7015,17800,252,0,6800,15420,2250,16200,1560,5100,6882,1500
40,96915,36695,30316,15101,6736,2110,7140,18330,0,0,3650,15960,200,11700,3300,7000,5892,2500
41,73997,26868,19651,9937,8706,1880,4065,10930,486,520,5920,16476,140,12240,1740,9600,7152,2105
42,78073,38561,31772,8324,5210,2190,12510,1695,492,2715,4900,12036,1000,2400,840,100,7908,1500
43,98445,29979,25713,23704,8417,1775,6350,15800,416,0,2240,57600,170,9120,2280,0,35406,7500
44,99064,20355,16226,29084,15827,2200,5930,15200,0,3620,13420,50550,2590,27660,13494,82000,70746,5000
45,85448,35920,29684,8002,7907,1300,5270,13990,2920,2715,4580,38904,144,10812,1620,5500,10968,0
46,83528,32136,27872,12686,7479,1775,6090,9700,210,5430,7083,34596,205,14712,3864,8600,15732,2000
47,98107,36213,30861,16505,8884,1930,7710,11800,0,0,22830,47580,508,4560,1620,6000,4686,2500
48,59255,19431,16060,18464,9509,1940,4330,0,0,2715,2480,20340,440,8310,1020,0,3132,1000
49,131485,46235,36272,30450,14452,2360,8720,16620,2600,0,19520,94272,1315,87120,3900,17000,43458,9000
50,95406,25378,19254,14050,10974,1195,5850,24150,1458,390,5410,42942,6828,7440,4332,6000,20826,4500
51,229370,98241,82536,46818,19718,3180,9555,35850,3210,0,18235,71280,4500,5058,3480,22500,33114,2000
52,64202,20938,15928,15204,12031,1810,7027,0,3214,0,4145,86718,960,57030,2760,0,2478,0
53,96601,27303,19910,25452,16129,1865,7125,8310,0,0,8760,47136,150,10398,2280,5500,4686,8000
54,75031,21286,18100,25542,11433,1760,5890,2190,0,7814,10800,53112,6120,5520,1920,5150,8778,8000
55,67121,24404,20091,12474,9405,1445,6350,2990,1170,5430,4180,21804,160,4824,1440,200,4116,2000
56,181926,47508,41268,36464,24387,2710,9885,38560,2720,0,19775,84000,1060,6720,8640,34900,60954,2300
57,56971,20468,16036,11174,7412,1500,3900,375,0,0,1200,27720,1800,2202,2004,0,3900,1000
58,60160,23470,15984,8195,7778,1170,6060,5980,0,0,1010,19338,50,1980,564,280,3690,1000
59,88966,41950,38010,12101,9600,1460,5130,1150,4374,832,2530,38490,6050,4680,2400,300,17640,2000
60,172404,36637,30060,61482,25812,3430,8660,22050,0,7240,11150,89982,4100,22140,12000,0,48186,5000
61,88017,43094,38102,7039,7233,1710,5690,14220,756,0,2760,15648,120,12120,672,400,5394,1500
62,51139,19999,17076,6530,6896,1480,4510,4120,0,0,1830,29310,100,3576,1680,100,8028,1000
63,127743,49902,44117,18616,9390,2460,9980,17060,504,0,3933,33804,1150,19920,4608,11957,15066,2000
64,65989,31888,27706,8885,7719,2300,7095,0,648,520,4280,40074,360,4800,1380,0,5586,1500
65,102906,44135,38734,15810,7427,2040,5665,16040,1534,0,3430,47028,0,12120,2700,600,27966,1500
66,87743,41207,35999,11649,11688,2530,6539,4450,160,9412,3110,9816,0,8700,2460,1650,7008,1500
67,59310,25390,21694,8073,7887,1820,7732,0,1645,3620,2830,16500,100,3600,540,0,4206,1200
68,62023,26806,21468,9174,7091,1410,6635,0,1080,0,1570,15000,128,960,420,0,3018,0
69,104427,33631,25356,9303,14685,2323,7862,9267,0,0,3125,24060,1470,15600,1800,0,13470,3500
70,110631,40476,31977,8840,9878,1550,7251,20845,2925,6335,8740,16200,220,8784,2760,2350,10770,4200
71,81985,31837,27567,10385,9131,2130,6015,4285,1680,4540,4860,16500,120,4800,270,100,5304,1500
72,108109,50073,36779,14649,15119,2815,7641,700,4615,5792,3380,22674,120,5598,1680,0,18702,2700
73,96505,40091,26531,10822,12136,2340,9261,6285,1105,2534,1750,31794,150,9660,3060,550,23454,2000
74,91575,38181,30368,9279,10968,1440,7387,9888,510,7375,2860,14700,120,7200,960,700,9306,2300
75,90942,42158,34222,12892,8595,2540,7161,4285,1105,6832,2320,23040,194,5160,900,600,8988,2300
76,90669,42961,36501,13902,7955,2770,5520,5980,2145,2265,3170,29148,0,4320,3240,300,8856,2900
77,29066,13956,12168,3621,3878,1005,3208,0,1690,9955,600,14622,60,240,0,0,2148,500
78,78662,36893,25557,10224,10718,1870,6878,4120,2350,416,2970,14832,50,3720,1320,500,4440,1000
79,155045,68989,43365,21917,14842,2785,7134,20325,1105,16290,6330,40740,120,17520,2640,12300,13056,1300
80,84355,40301,34457,12906,7832,1210,6743,900,1170,4706,3150,27552,0,5340,1980,0,10140,1500
81,69946,31880,26817,10713,8864,1660,5846,0,1170,7375,1870,22074,120,780,720,0,6846,1800
82,72478,35810,28156,10489,7593,1355,5958,900,1105,6335,1650,27798,0,3540,1680,0,5310,1800
83,100518,44554,30167,15818,6717,1895,5128,14220,1560,9050,4870,26256,100,6720,2160,600,9006,1100
84,60543,27886,24198,8762,7836,1715,3717,450,1170,3620,1435,13152,120,1380,480,50,5874,1000
85,49085,21285,15957,7087,6419,1150,4671,0,510,2730,1570,17352,145,1380,1080,0,4788,1700
86,72244,32849,29262,9961,9404,1810,6392,2825,585,5544,2895,16860,198,4200,600,150,7080,1000
87,110462,42990,36500,23506,14452,1370,11205,2895,3564,5972,11430,22680,401,2880,1260,600,5226,2000
88,164802,48480,35476,54002,19782,3025,17513,4230,4082,728,23220,40614,4090,12690,6000,3850,23100,10000
89,79540,22972,17267,10892,23187,2270,10184,0,0,0,1450,20766,380,480,0,0,14124,2000
90,77667,30999,25481,10508,7648,1480,12896,4066,1440,0,3265,20412,430,3210,1428,280,21126,10500
91,53517,20179,14618,7923,7620,1220,9688,0,0,0,3350,11844,0,960,1476,0,2334,0
92,86841,31910,24149,15165,11335,1135,8195,8000,1580,0,3780,29850,50,3600,1620,10100,5604,1500
93,62562,30508,28402,8590,9643,1170,6240,0,0,0,1750,20700,10583,1680,0,0,16326,5000
94,77461,34955,27353,11550,10299,2370,6563,3165,360,1924,7295,15600,1000,2700,492,5870,5886,0
95,89011,25419,19882,15472,17070,2130,12933,3500,0,1685,3770,36948,950,3060,1800,18000,29328,1000
96,83950,40737,36200,11211,15089,1485,5809,1300,1014,390,21150,17220,150,1080,1020,200,3846,2370
97,92792,56998,52282,8031,10475,1290,5040,0,1410,1040,2290,9918,204,1500,1380,0,5370,0
98,92989,25888,16321,21160,8612,2510,7289,6090,0,0,3690,27660,14900,3600,1500,6900,3432,3000
99,74452,29989,25461,8290,7747,1165,4770,8250,1080,0,660,17700,175,5700,660,6000,4206,0
100,97535,53284,47136,12395,9598,980,5710,5395,1310,724,1410,9270,2970,2100,360,150,3726,0
